year,metric,season,temperature_c,in_common_window,baseline_period,missing_type
1732,mean,summer,15.75,FALSE,NA,observed
1732,mean,autumn,10.57,FALSE,NA,observed
1732,mean,annual,9.69,FALSE,NA,observed
1733,mean,winter,5,FALSE,NA,observed
1733,mean,spring,9.02,FALSE,NA,observed
1733,mean,summer,16.55,FALSE,NA,observed
1733,mean,autumn,9.46,FALSE,NA,observed
1733,mean,annual,10.5,FALSE,NA,observed
1734,mean,winter,6.09,FALSE,NA,observed
1734,mean,spring,9.5,FALSE,NA,observed
1734,mean,summer,15.52,FALSE,NA,observed
1734,mean,autumn,9.29,FALSE,NA,observed
1734,mean,annual,9.82,FALSE,NA,observed
1735,mean,winter,4.14,FALSE,NA,observed
1735,mean,spring,8.53,FALSE,NA,observed
1735,mean,summer,14.78,FALSE,NA,observed
1735,mean,autumn,10.27,FALSE,NA,observed
1735,mean,annual,9.57,FALSE,NA,observed
1736,mean,winter,5.01,FALSE,NA,observed
1736,mean,spring,8.7,FALSE,NA,observed
1736,mean,summer,16.64,FALSE,NA,observed
1736,mean,autumn,10.56,FALSE,NA,observed
1736,mean,annual,10.33,FALSE,NA,observed
1737,mean,winter,5.65,FALSE,NA,observed
1737,mean,spring,9.14,FALSE,NA,observed
1737,mean,summer,15.7,FALSE,NA,observed
1737,mean,autumn,9.72,FALSE,NA,observed
1737,mean,annual,9.95,FALSE,NA,observed
1738,mean,winter,4.7,FALSE,NA,observed
1738,mean,spring,8.92,FALSE,NA,observed
1738,mean,summer,15.55,FALSE,NA,observed
1738,mean,autumn,9.67,FALSE,NA,observed
1738,mean,annual,9.84,FALSE,NA,observed
1739,mean,winter,5.59,FALSE,NA,observed
1739,mean,spring,8.05,FALSE,NA,observed
1739,mean,summer,15.3,FALSE,NA,observed
1739,mean,autumn,8.81,FALSE,NA,observed
1739,mean,annual,9.21,FALSE,NA,observed
1740,mean,winter,-0.37,FALSE,NA,observed
1740,mean,spring,6.3,FALSE,NA,observed
1740,mean,summer,14.28,FALSE,NA,observed
1740,mean,autumn,7.51,FALSE,NA,observed
1740,mean,annual,6.86,FALSE,NA,observed
1741,mean,winter,2.71,FALSE,NA,observed
1741,mean,spring,6.86,FALSE,NA,observed
1741,mean,summer,15.84,FALSE,NA,observed
1741,mean,autumn,11.16,FALSE,NA,observed
1741,mean,annual,9.32,FALSE,NA,observed
1742,mean,winter,3.12,FALSE,NA,observed
1742,mean,spring,7.11,FALSE,NA,observed
1742,mean,summer,15.54,FALSE,NA,observed
1742,mean,autumn,8.61,FALSE,NA,observed
1742,mean,annual,8.38,FALSE,NA,observed
1743,mean,winter,3.3,FALSE,NA,observed
1743,mean,spring,8.03,FALSE,NA,observed
1743,mean,summer,15.8,FALSE,NA,observed
1743,mean,autumn,10.78,FALSE,NA,observed
1743,mean,annual,9.83,FALSE,NA,observed
1744,mean,winter,3.07,FALSE,NA,observed
1744,mean,spring,7.44,FALSE,NA,observed
1744,mean,summer,15.41,FALSE,NA,observed
1744,mean,autumn,9.7,FALSE,NA,observed
1744,mean,annual,8.8,FALSE,NA,observed
1745,mean,winter,3.23,FALSE,NA,observed
1745,mean,spring,7.77,FALSE,NA,observed
1745,mean,summer,14.46,FALSE,NA,observed
1745,mean,autumn,10.1,FALSE,NA,observed
1745,mean,annual,8.85,FALSE,NA,observed
1746,mean,winter,2.23,FALSE,NA,observed
1746,mean,spring,7.61,FALSE,NA,observed
1746,mean,summer,15.34,FALSE,NA,observed
1746,mean,autumn,8.43,FALSE,NA,observed
